CWork,Algo,Type,ExTime
40000,MeanFilter,Sequential,0.172
40000,MeanFilter,Parallel,0.335
40000,MedianFilter,Sequential,0.475
40000,MedianFilter,Parallel,0.328
160000,MeanFilter,Sequential,0.570
160000,MeanFilter,Parallel,0.524
160000,MedianFilter,Sequential,0.551
160000,MedianFilter,Parallel,0.723
1000000,MeanFilter,Sequential,2.431
1000000,MeanFilter,Parallel,1.337
1000000,MedianFilter,Sequential,9.134
1000000,MedianFilter,Parallel,3.380
1440000,MeanFilter,Sequential,3.024
1440000,MeanFilter,Parallel,1.689
1440000,MedianFilter,Sequential,13.161
1440000,MedianFilter,Parallel,4.837
1960000,MeanFilter,Sequential,3.733
1960000,MeanFilter,Parallel,1.749
1960000,MedianFilter,Sequential,15.601
1960000,MedianFilter,Parallel,5.390
2560000,MeanFilter,Sequential,4.596
2560000,MeanFilter,Parallel,2.450
2560000,MedianFilter,Sequential,20.065
2560000,MedianFilter,Parallel,7.594
3240000,MeanFilter,Sequential,6.101
3240000,MeanFilter,Parallel,2.849
3240000,MedianFilter,Sequential,29.419
3240000,MedianFilter,Parallel,10.792
4000000,MeanFilter,Sequential,7.081
4000000,MeanFilter,Parallel,3.250
4000000,MedianFilter,Sequential,30.459
4000000,MedianFilter,Parallel,10.813
4840000,MeanFilter,Sequential,9.129
4840000,MeanFilter,Parallel,3.954
4840000,MedianFilter,Sequential,46.310
4840000,MedianFilter,Parallel,16.271
5760000,MeanFilter,Sequential,10.107
5760000,MeanFilter,Parallel,4.341
5760000,MedianFilter,Sequential,52.084
5760000,MedianFilter,Parallel,18.400
6760000,MeanFilter,Sequential,12.082
6760000,MeanFilter,Parallel,5.433
6760000,MedianFilter,Sequential,61.788
6760000,MedianFilter,Parallel,21.749
7840000,MeanFilter,Sequential,13.602
7840000,MeanFilter,Parallel,5.782
7840000,MedianFilter,Sequential,72.906
7840000,MedianFilter,Parallel,25.205
9000000,MeanFilter,Sequential,16.120
9000000,MeanFilter,Parallel,6.375
9000000,MedianFilter,Sequential,86.172
9000000,MedianFilter,Parallel,29.914
10240000,MeanFilter,Sequential,17.590
10240000,MeanFilter,Parallel,7.120
10240000,MedianFilter,Sequential,95.317
10240000,MedianFilter,Parallel,33.087
11560000,MeanFilter,Sequential,19.358
11560000,MeanFilter,Parallel,9.201
11560000,MedianFilter,Sequential,104.660
11560000,MedianFilter,Parallel,36.432
